timestamp,commit,branch,benchmark,estimate_ns
2026-03-23T04:15:35Z,1acf681,main,traits/behavior_lookup,2.2888
2026-03-23T04:15:35Z,1acf681,main,traits/level_name,2.0210
2026-03-23T04:15:35Z,1acf681,main,traits/level_from_numeric,7.3484
2026-03-23T04:15:35Z,1acf681,main,personality/compose_prompt,201.34
2026-03-23T04:15:35Z,1acf681,main,personality/behavioral_instructions,34.644
2026-03-23T04:15:35Z,1acf681,main,personality/active_traits,22.255
2026-03-23T04:15:35Z,1acf681,main,personality/distance,190.97
2026-03-23T04:15:35Z,1acf681,main,mood/stimulate,52.828
2026-03-23T04:15:35Z,1acf681,main,mood/intensity,1.9128
2026-03-23T04:15:35Z,1acf681,main,mood/blend,2.8548
2026-03-23T04:15:35Z,1acf681,main,mood/decay,0.2854
2026-03-23T04:15:35Z,1acf681,main,mood/dominant_emotion,2.1484
2026-03-23T04:15:35Z,1acf681,main,mood/nudge,1.2516
2026-03-23T04:15:35Z,1acf681,main,mood/deviation,2.4168
2026-03-23T04:15:35Z,1acf681,main,mood/apply_decay,38.826
2026-03-23T04:15:35Z,1acf681,main,sentiment/positive_short,125.95
2026-03-23T04:15:35Z,1acf681,main,sentiment/negative_medium,396.81
2026-03-23T04:15:35Z,1acf681,main,sentiment/neutral_long,454.77
2026-03-23T04:15:35Z,1acf681,main,sentiment/mixed_emotions,442.57
2026-03-23T04:15:35Z,1acf681,main,sentiment/keyword_dense,653.41
2026-03-23T04:15:35Z,1acf681,main,archetype/compose_preamble,640.73
2026-03-23T04:15:35Z,1acf681,main,archetype/compose_identity_2_layers,891.31
2026-03-23T04:15:35Z,1acf681,main,archetype/compose_identity_5_layers,1191.0000
2026-03-23T04:15:35Z,1acf681,main,presets/get_preset,393.42
2026-03-23T04:15:35Z,1acf681,main,presets/list_presets,8.5846
2026-03-23T04:15:35Z,1acf681,main,presets/preset_full_prompt,1941.3000
2026-03-23T04:15:35Z,1acf681,main,serde/personality_serialize,465.44
2026-03-23T04:15:35Z,1acf681,main,serde/personality_deserialize,846.75
2026-03-23T04:15:35Z,1acf681,main,serde/mood_serialize,150.17
2026-03-23T04:15:35Z,1acf681,main,serde/mood_deserialize,183.96
2026-03-23T04:15:35Z,1acf681,main,serde/emotional_state_serialize,686.02
2026-03-23T04:15:35Z,1acf681,main,serde/emotional_state_deserialize,634.66
